Date;PERROY - Humidité moy. (%);PERROY - Précipitations tot. (mm ou litres/m2);PERROY - Température moy. +2 m (°C)
19.04.2023;75;0.1;11.4
20.04.2023;80;1.7;7.6
21.04.2023;84;1.3;8.1
22.04.2023;92;0.7;8.4
23.04.2023;82;5.9;12.4
24.04.2023;70;9.4;11.5
25.04.2023;73;2.2;9.7
26.04.2023;72;0;9.7
27.04.2023;68;0;12.8
28.04.2023;66;2.6;17.3
29.04.2023;92;15.9;14.5
30.04.2023;76;0;14
01.05.2023;86;4.3;12
02.05.2023;65;0;14.4
03.05.2023;63;0;15.5
04.05.2023;68;0;15.4
05.05.2023;64;0.2;17.5
06.05.2023;75;0.3;17.2
07.05.2023;85;0.5;15.2
08.05.2023;83;0.1;15.7
09.05.2023;86;11.5;14.4
10.05.2023;73;0.9;13.2
11.05.2023;80;2.4;11.9
12.05.2023;68;0;14.1
13.05.2023;81;8.5;13
14.05.2023;78;2.7;13.8
15.05.2023;81;1.7;13.2
16.05.2023;69;0;13.2
17.05.2023;60;0;11.9
18.05.2023;64;1;12.6
19.05.2023;66;0;14.5
20.05.2023;71;0;14.9
21.05.2023;81;0;15.2
22.05.2023;75;0;18
23.05.2023;73;0;19
24.05.2023;71;0;16.7
25.05.2023;67;0;16
26.05.2023;72;0;17.7
27.05.2023;60;0;20.5
28.05.2023;57;0;20.4
29.05.2023;45;0;21.8
30.05.2023;45;0;21.6
31.05.2023;59;0;19.8
